Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
40,16,35.262592,-59.45255,35.262596,-59.452057,89.43053640904634,Fishing
40,19,35.262596,-59.452057,35.262596,-59.45158,89.99986230812601,Fishing
40,22,35.262596,-59.45158,,,,Fishing
41,0,35.262608,-59.455505,35.26262,-59.453613,89.55440249904007,Fishing
41,11,35.26262,-59.453613,35.262623,-59.452587,89.79452581793356,Fishing
41,17,35.262623,-59.452587,35.262627,-59.451706,89.68115108811838,Fishing
41,23,35.262627,-59.451706,35.26263,-59.45064,89.80221317931534,Fishing
41,29,35.26263,-59.45064,35.262638,-59.449635,89.44115093870835,Fishing
41,35,35.262638,-59.449635,35.26264,-59.44867,89.85428922240135,Fishing
41,41,35.26264,-59.44867,35.262646,-59.447617,89.59986663429606,Fishing
41,47,35.262646,-59.447617,,,,Fishing
51,0,35.26267,-59.45549,35.262863,-59.454998,64.33888238841138,Fishing
51,3,35.262863,-59.454998,35.26291,-59.454586,82.04637384435398,Fishing
51,5,35.26291,-59.454586,35.262844,-59.45404,98.42093408420578,Fishing
51,9,35.262844,-59.45404,35.262897,-59.453506,83.06926998129973,Fishing
51,12,35.262897,-59.453506,35.262966,-59.453083,78.70220486290702,Fishing
51,15,35.262966,-59.453083,35.262947,-59.452694,93.42320663629334,Fishing
51,18,35.262947,-59.452694,35.262875,-59.452072,98.06878767821706,Fishing
51,22,35.262875,-59.452072,,,,Fishing
58,0,35.2626,-59.455566,35.262707,-59.455112,73.89934159055906,Fishing
58,3,35.262707,-59.455112,35.262653,-59.454803,102.08058059954237,Fishing
58,5,35.262653,-59.454803,35.26263,-59.454426,94.2729526966815,Fishing
58,7,35.26263,-59.454426,35.262783,-59.45401,65.75128400018002,Fishing
58,10,35.262783,-59.45401,35.26277,-59.45363,92.39908467987084,Fishing
58,13,35.26277,-59.45363,35.26279,-59.453335,85.25342526541527,Fishing
58,15,35.26279,-59.453335,35.26284,-59.453075,76.74696426527623,Fishing
58,17,35.26284,-59.453075,,,,Fishing
59,0,35.26262,-59.455524,35.262665,-59.45515,81.61716214615814,Fishing
59,2,35.262665,-59.45515,35.2627,-59.454823,82.53180505664784,Fishing
59,4,35.2627,-59.454823,35.262688,-59.454468,92.37052952256829,Fishing
