Trajectory_ID,Latitude,Longitude,Order,Type
884,35.263203,-59.451565,17,Cargo
1512,35.2644,-59.442074,73,Tanker
943,35.26662,-59.441345,36,Cargo
735,35.265007,-59.44652,43,Cargo
688,35.264935,-59.450947,85,Tanker
1423,35.26521,-59.45041,29,Cargo
1387,35.262913,-59.453228,7,Cargo
952,35.266285,-59.44147,46,Cargo
510,35.262814,-59.45601,3,Cargo
844,35.263798,-59.452007,15,Cargo
766,35.264194,-59.44815,17,Cargo
805,35.27129,-59.426884,86,Container
1056,35.26517,-59.438786,37,Cargo
901,35.274292,-59.438984,64,Cargo
60,35.26277,-59.449818,82,Tanker
1225,35.262714,-59.4528,6,Cargo
1086,35.26308,-59.441925,62,Container
403,35.26317,-59.454655,17,Tanker
477,35.2707,-59.42599,65,Cargo
536,35.26373,-59.45374,4,Cargo
1569,35.265095,-59.455414,54,Cargo
681,35.262672,-59.454895,9,Tanker
448,35.26285,-59.455853,17,Cargo
273,35.263603,-59.455383,57,Cargo
465,35.264004,-59.44545,23,Container
545,35.262844,-59.45441,2,Cargo
1309,35.266556,-59.45445,55,Cargo
1048,35.263027,-59.455936,2,Cargo
1581,35.27589,-59.434322,70,Cargo
1007,35.263233,-59.450916,15,Container
188,35.267147,-59.45274,40,Cargo
167,35.263027,-59.45373,4,Cargo
562,35.26297,-59.455822,21,Cargo
1253,35.26282,-59.453888,3,Cargo
49,35.265423,-59.453632,52,Tanker
1325,35.26277,-59.44992,25,Container
1450,35.263393,-59.43511,90,Container
1075,35.26399,-59.448,34,Cargo
169,35.26802,-59.43719,36,Cargo
1090,35.265263,-59.45194,16,Cargo
1300,35.26286,-59.445328,21,Cargo
230,35.262623,-59.455517,1,Tanker
287,35.264557,-59.456562,33,Cargo
1488,35.263172,-59.455143,5,Cargo
1060,35.26306,-59.45543,1,Cargo
663,35.263187,-59.455395,32,Tanker
618,35.2627,-59.452366,9,Cargo
120,35.274586,-59.411213,98,Cargo
160,35.262768,-59.454777,3,Cargo
560,35.26741,-59.45644,84,Cargo
225,35.26343,-59.453857,9,Cargo
924,35.262512,-59.455566,3,Tanker
48,35.26317,-59.454533,20,Tanker
991,35.26266,-59.455402,0,Cargo
1090,35.262836,-59.45546,0,Cargo
25,35.27731,-59.431076,62,Cargo
214,35.262833,-59.45471,15,Tanker
